awayTeamCode,game_id,homeTeamCode,homeTeamWon,isPlayoffGame,season,total_games_played_by_home,total_games_played_by_away,total_wins_home,total_losses_home,total_wins_away,total_losses_away,last_10_games_win_home,last_10_games_win_away,last_meeting_result,last_game_result_home,last_game_result_away
FLA,20184,ANA,1,0,2015,11,11,2,9,5,6,2,4,0,1.0,0.0
TBL,20185,BUF,0,0,2015,12,14,5,7,6,8,5,3,0,1.0,0.0
BOS,20186,WSH,1,0,2015,11,11,8,3,6,5,7,6,1,0.0,0.0
NYI,20187,MTL,1,0,2015,14,13,11,3,7,6,7,6,1,0.0,1.0
WPG,20188,OTT,1,0,2015,12,13,6,6,8,5,4,6,0,1.0,1.0
NSH,20189,MIN,0,0,2015,11,11,7,4,7,4,6,6,1,0.0,0.0
PHI,20190,CGY,1,0,2015,13,12,3,10,4,8,2,4,1,0.0,0.0
COL,20191,ARI,1,0,2015,11,12,5,6,4,8,4,3,1,0.0,1.0
CBJ,20192,LAK,0,0,2015,12,13,8,4,3,10,8,3,1,1.0,1.0
FLA,20193,SJS,1,0,2015,12,12,6,6,5,7,4,4,0,0.0,0.0
DET,20194,TOR,0,0,2015,12,12,2,10,6,6,2,4,0,0.0,1.0
CHI,20195,NJD,1,0,2015,12,13,6,6,7,6,6,5,1,0.0,0.0
DAL,20196,CAR,0,0,2015,12,13,5,7,10,3,5,8,0,0.0,1.0
NYR,20197,COL,0,0,2015,13,12,4,9,8,4,3,6,0,0.0,1.0
PIT,20198,EDM,0,0,2015,13,12,5,8,8,4,5,8,1,1.0,1.0
CBJ,20199,ANA,1,0,2015,12,14,3,9,4,10,3,4,0,1.0,1.0
VAN,20200,BUF,1,0,2015,13,13,5,8,6,7,4,4,0,0.0,0.0
FLA,20201,LAK,1,0,2015,13,13,8,5,5,8,8,3,1,0.0,0.0
BOS,20202,MTL,1,0,2015,15,12,12,3,6,6,7,6,0,1.0,0.0
TOR,20203,WSH,1,0,2015,12,13,9,3,2,11,8,2,0,1.0,0.0
OTT,20204,CAR,1,0,2015,13,13,5,8,7,6,5,5,1,0.0,1.0
PHI,20205,WPG,0,0,2015,14,13,8,6,4,9,5,3,0,0.0,0.0
STL,20206,NSH,0,0,2015,12,13,8,4,9,4,6,7,1,1.0,1.0
TBL,20207,MIN,1,0,2015,12,15,7,5,7,8,5,4,0,0.0,1.0
NYR,20208,ARI,0,0,2015,12,13,6,6,9,4,4,6,0,1.0,1.0
PIT,20209,CGY,1,0,2015,14,13,4,10,9,4,3,9,1,1.0,1.0
ANA,20210,SJS,0,0,2015,13,13,7,6,4,9,4,4,0,1.0,1.0
DAL,20211,DET,0,0,2015,13,14,7,6,11,3,4,8,0,1.0,1.0
VAN,20212,NJD,1,0,2015,13,14,7,6,6,8,7,3,0,1.0,0.0
BOS,20213,NYI,0,0,2015,14,13,7,7,6,7,5,6,1,0.0,0.0
EDM,20214,CHI,1,0,2015,14,14,7,7,5,9,5,5,0,0.0,0.0
ARI,20215,ANA,0,0,2015,14,13,5,9,6,7,5,3,0,1.0,0.0
STL,20216,NJD,0,0,2015,14,14,8,6,10,4,8,7,1,1.0,1.0
CAR,20217,NYR,1,0,2015,14,14,10,4,6,8,7,5,0,1.0,1.0
COL,20218,PHI,0,0,2015,14,14,5,9,4,10,3,2,0,1.0,0.0
VAN,20219,CBJ,0,0,2015,15,15,4,11,6,9,4,3,1,0.0,0.0
WSH,20220,DET,1,0,2015,14,13,7,7,10,3,4,8,0,0.0,1.0
BUF,20221,TBL,0,0,2015,16,14,7,9,6,8,3,5,0,0.0,1.0
CGY,20222,FLA,1,0,2015,14,15,5,9,5,10,2,4,1,0.0,1.0
OTT,20223,NSH,1,0,2015,13,14,8,5,7,7,5,4,1,0.0,0.0
WPG,20224,MIN,1,0,2015,13,15,8,5,8,7,5,4,0,1.0,0.0
TOR,20225,DAL,0,0,2015,15,14,12,3,2,12,8,1,0,1.0,0.0
ARI,20226,LAK,0,0,2015,14,14,9,5,7,7,8,4,1,1.0,1.0
NYI,20227,SJS,0,0,2015,14,15,7,7,7,8,3,4,0,0.0,0.0
MTL,20228,PIT,1,0,2015,14,16,9,5,13,3,8,7,1,0.0,1.0
EDM,20229,ANA,0,0,2015,15,15,5,10,5,10,4,4,0,0.0,0.0
COL,20230,BOS,0,0,2015,14,15,7,7,5,10,6,3,1,1.0,1.0
STL,20231,NYR,1,0,2015,15,15,11,4,11,4,8,7,1,1.0,1.0
WSH,20232,PHI,0,0,2015,15,14,5,10,10,4,3,7,0,0.0,0.0
MIN,20233,CAR,0,0,2015,15,14,6,9,9,5,5,6,0,0.0,1.0
VAN,20234,OTT,1,0,2015,15,16,7,8,7,9,4,4,0,0.0,1.0
CGY,20235,TBL,1,0,2015,17,16,7,10,5,11,3,4,0,0.0,0.0
BUF,20236,FLA,0,0,2015,15,15,6,9,7,8,3,6,1,1.0,1.0
TOR,20237,NSH,0,0,2015,14,15,9,5,3,12,6,2,1,1.0,1.0
NJD,20238,CHI,0,0,2015,15,15,8,7,8,7,6,7,0,1.0,0.0
WPG,20239,DAL,1,0,2015,16,16,12,4,8,8,7,4,0,0.0,0.0
EDM,20240,ARI,1,0,2015,15,16,8,7,6,10,5,4,1,1.0,1.0
NYI,20241,LAK,1,0,2015,15,16,9,6,8,8,7,4,1,0.0,1.0
CBJ,20242,PIT,0,0,2015,15,16,10,5,4,12,8,4,1,1.0,0.0
CGY,20243,WSH,0,0,2015,15,17,11,4,5,12,7,3,1,1.0,0.0
SJS,20244,DET,0,0,2015,15,15,8,7,7,8,5,3,0,1.0,0.0
NYI,20245,ANA,0,0,2015,16,17,5,11,8,9,4,4,0,0.0,0.0
NYR,20246,OTT,0,0,2015,16,16,8,8,12,4,5,9,0,1.0,1.0
DET,20247,BOS,1,0,2015,15,16,7,8,8,8,5,5,0,0.0,0.0
SJS,20248,BUF,0,0,2015,16,16,8,8,8,8,6,4,1,1.0,1.0
VAN,20249,TOR,1,0,2015,16,17,4,12,7,10,3,4,1,1.0,0.0
COL,20250,MTL,0,0,2015,17,16,13,4,6,10,6,4,1,0.0,1.0
FLA,20251,TBL,0,0,2015,18,16,8,10,6,10,3,3,1,1.0,0.0
PIT,20252,NJD,1,0,2015,16,16,9,7,10,6,7,7,0,1.0,0.0
PHI,20253,CAR,0,0,2015,16,16,6,10,5,11,4,2,1,0.0,0.0
ARI,20254,CBJ,1,0,2015,17,16,5,12,9,7,5,6,0,1.0,1.0
WPG,20255,NSH,1,0,2015,15,17,9,6,8,9,5,4,0,0.0,0.0
CHI,20256,STL,0,0,2015,16,16,11,5,8,8,6,5,1,0.0,0.0
MIN,20257,DAL,1,0,2015,17,15,13,4,10,5,7,7,1,1.0,1.0
EDM,20258,LAK,1,0,2015,16,17,10,6,6,11,7,3,0,1.0,0.0
TOR,20259,NYR,1,0,2015,17,17,13,4,5,12,9,4,0,1.0,1.0
CGY,20260,CHI,1,0,2015,17,18,9,8,6,12,5,4,1,1.0,1.0
ARI,20261,NYI,1,0,2015,18,17,9,9,9,8,4,6,1,1.0,0.0
ANA,20262,CAR,0,0,2015,17,17,6,11,5,12,4,4,1,0.0,0.0
VAN,20263,MTL,1,0,2015,18,18,13,5,7,11,5,4,0,0.0,0.0
DET,20264,OTT,0,0,2015,17,17,8,9,8,9,5,5,1,0.0,0.0
TBL,20265,FLA,1,0,2015,17,19,7,10,8,11,4,3,1,1.0,0.0
WPG,20266,STL,1,0,2015,17,18,11,6,8,10,6,3,0,0.0,0.0
SJS,20267,BOS,0,0,2015,16,17,8,8,9,8,6,5,1,1.0,1.0
DAL,20268,BUF,0,0,2015,17,18,8,9,14,4,6,8,0,0.0,1.0
LAK,20269,PHI,0,0,2015,17,17,6,11,11,6,2,7,0,1.0,1.0
MIN,20270,PIT,1,0,2015,17,16,10,7,10,6,7,6,1,0.0,0.0
STL,20271,CBJ,1,0,2015,18,18,6,12,12,6,6,7,1,1.0,1.0
COL,20272,TOR,1,0,2015,18,17,5,13,7,10,4,5,0,0.0,1.0
ANA,20273,NSH,1,0,2015,16,18,10,6,6,12,5,5,0,1.0,1.0
NJD,20274,CGY,1,0,2015,19,17,6,13,10,7,4,7,0,0.0,1.0
VAN,20275,WPG,1,0,2015,19,19,8,11,7,12,3,3,1,0.0,0.0
WSH,20276,DET,0,0,2015,18,16,9,9,11,5,5,6,0,1.0,0.0
CHI,20277,EDM,0,0,2015,18,18,6,12,10,8,3,5,1,0.0,1.0
MIN,20278,BOS,1,0,2015,17,17,8,9,10,7,5,5,0,0.0,0.0
SJS,20279,PHI,0,0,2015,18,18,6,12,10,8,2,5,1,0.0,1.0
COL,20280,PIT,1,0,2015,18,18,11,7,7,11,7,5,1,1.0,0.0
DAL,20281,WSH,0,0,2015,17,19,12,5,15,4,6,8,0,1.0,1.0
ARI,20282,MTL,0,0,2015,19,18,14,5,9,9,5,5,1,1.0,0.0
CBJ,20283,OTT,1,0,2015,18,19,8,10,7,12,5,6,1,0.0,1.0
NYR,20284,TBL,1,0,2015,20,18,8,12,14,4,3,9,1,0.0,1.0
ANA,20285,FLA,0,0,2015,18,19,8,10,6,13,4,5,0,1.0,0.0
BUF,20286,STL,1,0,2015,19,18,12,7,8,10,6,6,1,0.0,0.0
TOR,20287,CAR,0,0,2015,18,19,6,12,6,13,4,5,1,0.0,1.0
NSH,20288,CBJ,1,0,2015,20,17,7,13,11,6,5,5,0,0.0,1.0
LAK,20289,DET,1,0,2015,19,18,9,10,12,6,5,7,1,0.0,1.0
MTL,20290,NYI,0,0,2015,19,20,10,9,14,6,4,5,1,1.0,0.0
CHI,20291,CGY,1,0,2015,20,19,7,13,11,8,5,5,1,1.0,1.0
NJD,20292,EDM,1,0,2015,19,18,6,13,10,8,3,6,1,0.0,0.0
TOR,20293,BOS,1,0,2015,18,20,9,9,7,13,5,6,1,1.0,1.0
PHI,20294,OTT,1,0,2015,19,19,9,10,6,13,5,2,1,1.0,0.0
ANA,20295,TBL,1,0,2015,21,20,9,12,7,13,4,6,1,1.0,1.0
NYR,20296,FLA,0,0,2015,19,19,8,11,14,5,3,9,1,0.0,0.0
SJS,20297,PIT,0,0,2015,19,19,12,7,11,8,7,6,1,1.0,1.0
COL,20298,WSH,1,0,2015,18,19,12,6,7,12,6,4,0,0.0,0.0
ARI,20299,WPG,1,0,2015,20,19,9,11,10,9,3,5,1,1.0,1.0
DET,20300,STL,0,0,2015,20,20,13,7,10,10,6,6,0,1.0,1.0
BUF,20301,DAL,1,0,2015,20,19,16,4,8,11,8,5,1,1.0,0.0
NSH,20302,MIN,1,0,2015,18,18,10,8,11,7,5,5,1,0.0,0.0
CHI,20303,VAN,1,0,2015,20,20,7,13,11,9,3,5,1,0.0,0.0
LAK,20304,CAR,1,0,2015,19,19,6,13,12,7,3,6,0,0.0,0.0
SJS,20305,CBJ,0,0,2015,21,20,8,13,12,8,6,7,1,1.0,1.0
NYI,20306,MTL,1,0,2015,21,20,15,6,10,10,6,4,1,1.0,0.0
NJD,20307,VAN,0,0,2015,21,19,8,13,10,9,3,6,0,1.0,0.0
STL,20308,BUF,0,0,2015,20,21,8,12,13,8,5,5,0,0.0,0.0
NSH,20309,NYR,1,0,2015,20,19,15,5,11,8,9,4,0,1.0,0.0
